Design No.,Sphere 1x,Sphere 1y,Sphere1z,Sphere 2x,Sphere 2y,Sphere2z,Sphere 3x,Sphere 3y,Sphere3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere5z,Sphere 6x,Sphere 6y,Sphere6z,Sphere 7x,Sphere 7y,Sphere7z,Sphere 8x,Sphere 8y,Sphere8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME Coupling coefficient
1,24.276,-18.81,12.718,8.666,-20.637,-12.173,3.881,-9.703,11.693,-2.386,-20.189,-13.765,-14.294,-5.481,28.275,3.563,-5.378,-15.253,14.441,-0.528,25.909,12.442,27.044,-1.703,20.816,-17.143,-26.248,24.964,3.975,0.605,47.19
2,-18.551,-10.91,-24.379,23.952,-21.823,24.755,-15.647,8.438,-23.135,-21.448,22.712,3.474,-16.174,-27.817,5.055,-6.519,-28.3,-10.414,-29.341,15.453,1.165,3.107,-9.768,2.122,13.864,14.254,26.755,29.221,9.871,20.563,57.31
3,25.194,-28.546,14.275,17.866,-17.654,-23.082,21.509,-2.129,13.992,-27.567,-7.872,10.429,5.391,-25.567,14.096,-22.654,20.187,-28.575,5.43,19.54,-17.961,1.941,-4.752,-21.125,24.579,-26.603,3.324,-2.565,-0.368,21.348,85.37
4,28.796,-12.559,0.452,23.422,-5.991,-16.07,-14.832,4.571,12.47,8.138,-29.24,-12.549,24.862,-0.116,-26.637,7.394,30,4.881,21.306,-4.106,-19.25,26.575,7.573,20.14,-13.367,20.381,-20.721,-12.154,26.028,-8.945,167
5,-9.43,-15.526,1.761,24.43,0.744,22.346,-4.252,-6.75,2.354,-23.13,17.708,-15.477,-24.482,-13.461,-12.668,-25.958,-12.147,17.33,10.029,24.717,3.308,15.806,1.634,-17.055,-17.418,-22.933,-20.155,-26.929,8.743,0.913,56.18
6,-19.697,-28.197,-3.041,10.679,29.641,19.53,22.222,3.446,10.548,-14.17,-4.226,21.391,6.67,-26.218,17.157,19.191,6.124,-28.144,-20.614,19.904,-5.067,20.324,-17.107,-7.03,-19.768,-17.276,13.758,9.954,-16.392,0.84,54.78
7,24.659,24.429,17.416,16.679,-17.487,-25.69,-26.149,-8.061,11.202,-6.533,-21.603,-25.451,-26.947,-0.593,23.104,9.462,-4.251,25.884,3.272,-27.42,-23.24,0.267,-6.581,11.685,-17.547,-4.446,-7.383,-23.189,29.38,-24.018,92.92
8,15.632,-16.381,24.281,-21.301,-13.581,1.855,7.84,19.669,-25.812,3.532,-24.585,7.527,-7.278,-20.218,1.221,23.565,18.029,-12.174,-4.219,-4.945,-20.544,-6.418,25.106,22.019,3.738,-27.67,-20.981,29.218,0.931,25.208,70.22
9,26.9,-18.364,12.267,-10.56,25.729,-23.281,-26.038,23.422,-13.261,-20.666,-29.181,-13.504,-9.594,-23.5,-23.212,22.774,-13.363,-13.244,14.108,19.224,-16.245,22.068,2.796,-18.646,-11.96,-8.92,18.225,0.101,-17.296,22.515,51.34
10,-21.541,27.428,27.705,27.205,0.407,-26.068,-16.63,4.985,-18.228,-17.482,18.935,0.47,21.295,20.447,-0.686,15.732,-29.854,-12.41,28.47,-17.815,-4.983,11.142,1.803,-13.959,20.601,-10.542,-6.738,11.189,27.332,10.813,66.67
11,-12.683,-0.575,29.015,6.133,8.497,-15.896,-9.225,-19.179,-12.207,-3.116,-12.197,-6.448,-18.064,21.697,-23.477,24.927,-11.638,26.943,-2.388,-12.454,17.368,4.045,-4.508,-21.994,10.937,-0.084,-1.923,-8.932,20.787,-10.726,40.97
12,-26.419,-11.819,8.695,25.26,-10.044,-26.119,-9.883,27.766,-27.557,9.689,-8.181,4.991,23.734,-20.628,0.167,19.568,24.154,18.015,2.447,2.869,-19.792,17.767,0.276,0.229,3.484,17.654,14.605,22.237,24.261,-19.837,46.59
13,24.317,23.959,17.451,16.381,-15.957,-24.841,-24.183,-8.544,12.582,-5.974,-19.769,-26.189,-25.595,-1.543,21.136,6.873,-1.9,25.129,1.554,-27.229,-21.78,1.87,-3.227,13.387,-17.989,-5.202,-8.212,-22.943,27.95,-24.58,62.32
14,-10.784,-18.439,29.358,8.36,-30,-2.021,-19.95,-21.733,3.781,4.942,-6.639,22.798,-7.928,-2.26,6.209,20.336,-26.956,-22.248,-27.416,-10.671,4.52,4.536,-19.716,-26.507,21.598,-24.61,4.143,-5.791,15.999,7.544,82.61
15,23.381,-3.394,24.249,9.067,10.277,-12.142,10.469,17.969,1.207,29.998,-5.513,-25.203,-19.209,15.415,-20.342,19.266,-14.75,-3.404,15.814,9.056,22.608,3.626,8.457,-1.579,-17.723,-18.494,6.503,-14.71,27.515,21.981,55.23
16,28.454,-13.029,0.487,23.124,-4.461,-15.221,-12.866,4.088,13.85,8.697,-27.406,-13.287,26.214,-1.066,-28.605,4.805,30,4.126,19.588,-3.915,-17.79,28.178,10.927,21.842,-13.809,19.625,-21.55,-11.908,24.598,-9.507,133.63
